Title,Authors,Co-authors,Edition,Year,Publisher,Category,ISBN,ISBN13,Call No,Accession No,Subject,Copy No,Remarks,Binding,Condition,Description,Tags
Network programming in C,Barry Nance,,,,,,,9788120308961,,,,,,,,,
Artificial Intelligence,,,,,,,,9788129700414,,,,,,,,,
Knowledge management strategies,Jerry Honeycutt,,,2000,Microsoft Press,,,9780735607248,,,,,,,,,
Programming with Java: a primer,E. Balagurusamy,,,,,,,9780074635421,,,,,,,,,
Professional Symbian programming: mobile solutions on the EPOC platform,Martin Tasker,,,2000,Wrox Press Ltd.,,,9781861003034,,,,,,,,,
File structures: an object-oriented approach with C++,Michael J. Folk;Greg Riccardi;Bill Zoellick,,,,,,,9788178081311,,,,,,,,,
Learn the MFC C++ classes,Shirley Woodtke,,,,,,,9788170298458,,,,,,,,,
Oracle8i: the complete reference,Kevin Loney;George Koch,,,,,,,9780070411678,,,,,,,,,
Meditation &amp;amp; its practices: a definitive guide to techniques and traditions of meditation in Yoga and Vedanta,Swami Adiswarananda;Yanmin Liang;Zhicheng Wang;Xiaowei Zhou,,,,,,,9788175052598,,,,,,,,,
Living wisdom,,,,1995,Sri Ramakrishna Math,,,9788171207145,,,,,,,,,
Philosophy and science of value education in the context of modern India,"National Seminar on ""Philosophy and Science of Value Education in Today's Context"" (2005 Ramakrishna Mission Institute of Culture)",,,2006,Ramakrishna Mission Institute of Culture,,,9788187332466,,,,,,,,,
"For thinkers on education. [Sri Ramakrishna Math, Mylapore, Madras. Golden jubilee, 1948",Swami Ramakrishnanda,,,1994,Sri Ramakrishna Math,,,9788171204953,,,,,,,,,
The complete works of Swami Vivekananda,Vivekananda,,,1947,Vedanta Press & Bookshop,,,9788185301464,,,,,,,,,
Śrī Īśopaniṣad,A. C. Bhaktivedanta Swami Prabhupāda;A. C. Bhaktivedanta Swami Prabhupāda,,,1969,Bhaktivedanta Book Trust,,,9780892132805,,,,,,,,,
system programming,Denovan Godfrey Nowell,,,1991,tmh,,,9780074604823,,,,,,,,,
The Life of Swami Vivekananda,,,,1980,Vedanta Pr,,,9788175050433,,,,,,,,,
Health and Happiness. [With a portrait.],Swami Sivananda,,,,,,,9788170520344,,,,,,,,,
Methods of Knowledge,Satprakashananda,,,2001,Advaita Ashrama,,,9788175050655,,,,,,,,,
Living at the source: Yoga teachings of Vivekananda,Vivekananda,,,1995,Advaita Ashrama,,,9788185301358,,,,,,,,,
The science of self realization,A. C. Bhaktivedanta Swami Prabhupāda,,,1977,Bhaktivedanta Book Trust,,,9780892131013,,,,,,,,,
Mind: its mysteries and control,SWAMI SIVANANDA,,,1994,DIVINE LIFE SOCIETY,,,9788170520061,,,,,,,,,
Autobiography of a Yogi,Paramahansa Yogananda;Yogananda;Anand Krishna,,,,,,,9788172241216,,,,,,,,,
Selections from the Qurán: (Rendered into simple modern English),,,,2003,New Dawn,,,9788120725379,,,,,,,,,
