S.No,Title,Authors,Publisher,Media Owner,ISBN,ISBN13,ISSN
1,,,,Kalyan Ganjam,0-14-028312-9,,
2,,,,,978-81-8495-035-9,,
3,,,,,978-0-312-57048-4,,
4,,,,,81-265-1007-2,,
5,,,,,978-1-78087-040-3,,
6,,,,,978-81-7223-847-6,,
7,,,,,978-0-00-654751-8,,
8,,,,,978-0-099-58211-3,,
9,,,,,0-330-39165-8,,
10,,,,,0-553-84007-x,,
11,,,,,978-0-15-101304-3,,
12,,,,,978-1-4165-1155-7,,
13,,,,,0-00-654489-4,,
14,,,,,0-446-67746-9,,
15,,,,,0-451-18784-9,,
16,,,,,0-140-28776-0,,
17,,,,,1-4000-5268-8,,
18,,,,,81-203-1266-x,,
19,,,,,978-0-06-119540-2,,
20,,,,,978-81-241-1638-8,,
21,,,,,978-81-85986-09-8,,
22,,,,,978-1-4165-0249-4,,
23,,,,,978-0-14-013779-8,,
24,,,,,978-1-47111-169-3,,
25,,,,,978-0-465-00938-1,,
26,,,,,0-7432-6087-2,,
27,,,,,978-014306568-5,,
28,,,,,1-86197-659-3,,
29,,,,,0-14-303237-2,,
30,,,,,0-141-01211-0,,
31,,,,,978-81-203-5197-4,,
32,,,,,0-713-99878-4,,
,,,,,,,
33,,,,,978-1-4221-4387-2,,
34,,,,,0-201-73397-8,,
35,,,,,1-4195-0274-3,,
36,,,,,0-380-01000-3,,
37,,,,,978-1-90-521124-1,,
41,,,,,0-87975-671-3,,
43,,,,,,978-81-8404-533-8,
44,,,,,,978-0-07-060586-2,
45,,,,,978-81-7758-680-0,,
46,,,,,81-7808-135-0,,
47,,,,,81-7808-169-5,,
49,,,,,0-534-26622-3,,
50,,,,,978-1-4087-0374-8,,
51,,,,,9971-51-428-1,,
52,,,,,0-07-114603-2,,
53,,,,,981-235-981-8,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
