S.No,Title,Authors,Publisher,Media Owner,ISBN,ISBN13,ISSN
1,,,,,,978-8-184040-83-8,
2,,,,,81-203-0896-4,,
3,,,,,81-265-0646-6,,
4,,,,,81-297-0041-7,,
5,,,,,81-297-0524-9,,
6,,,,,81-7366-161-8,,
7,,,,,0-7356-0724-9,,
8,,,,,81-7366-608-3,,
9,,,,,0-07-463542-5,,
10,,,,,1-861003-03-X,,
11,,,,,81-7808-131-8,,
12,,,,,81-7029-845-8,,
13,,,,,81-7722-316-X,,
14,,,,,,978-81-265-1241-6,
15,,,,,81-8128-470-4,,
16,,,,,,978-81-265-1134-1,
17,,,,,81-7366-021-2,,
18,,,,,978-81-265-1744-2,,
19,,,,,81-7635-174-1,,
20,,,,,81-7366-433-1,,
21,,,,,81-7366-528-1,,
22,,,,,,978-0-07-022369-1,
23,,,,,0-07-463879-3,,
24,,,,,81-203-0944-8,,
25,,,,,81-203-1939-7,,
26,,,,,0-07-041167-0,,
27,,,,,81-7656-306-1,,
28,,,,,81-203-1771-8,,
29,,,,,81-297-0583-4,,
30,,,,,978-93-80925-29-5,,
31,,,,,978-81-265-1678-0,,
32,,,,,81-7505-259-7,,
33,,,,,81-7120-714-6,,
34,,,,,81-87332-46-8,,
35,,,,,81-7120-495-3,,
36,,,,,81-85301-46-8,,
37,,,,,0-89213-280-9,,
41,,,,,0-07-460482-1,,
43,,,,,81-7656-866-x,,
44,,,,,81-265-0574-5,,
45,,,,,81-7505-043-8,,
46,,,,,81-7505-042-X,,
47,,,,,81-7052-034-7,,
49,,,,,81-7505-065-9,,
50,,,,,81-7276-34-7,,
51,,,,,81-85301-35-2,,
52,,,,,0-89213-101-2,,
53,,,,,81-7052-006-1,,
54,,,,,81-7224-121-6,,
55,,,,,019564784-X,,
56,,,,,81-207-2537-9,,
