Title,Authors,Co-authors,Edition,Year,Publisher,Category,ISBN,ISBN13,Call No,Accession No,Subject,Copy No,Remarks,Binding,Condition,Description,Tags
Business @ The Speed Of Thought: Using A Digital Nervous System,Bill Gates;Collins Hemingway,,,2000,Penguin UK,,,9780140283129,,,,,,,,,
How To Sell Yourself,Arch Lustberg,,,2012,Jaico Publishing House,,,9788184950359,,,,,,,,,
The Power Of Slow: 101 Ways To Save Time In Our 24/7 World,Christine Louise Hohlbaum,,,2009,St. Martin's Press,,,9780312570484,,,,,,,,,
Naked Conversations: How Blogs Are Changing The Way Businesses Talk With Customers,Scoble,,,2006,John Wiley & Sons,,,9788126510078,,,,,,,,,
Apocalypse: A History Of The End Of Time,John Michael Greer,,,2012,Quercus Books,,,9781780870403,,,,,,,,,
The white tiger: a novel,Aravind Adiga;Ingo Herzke;Ingo Herzke,,,,,,,9788172238476,,,,,,,,,
The Web Of Life: A New Scientific Understanding Of Living Systems,Fritjof Capra,,,1997,HarperPerennial,,,9780006547518,,,,,,,,,
Shadows Of The Mind,Roger Penrose,,,1995,Random House,,,9780099582113,,,,,,,,,
E,David Bodanis,,,2001,Pan Macmillan,,,9780330391658,,,,,,,,,
Emotional Intelligence,Daniel Goleman,,,1996,,,,9780553840070,,,,,,,,,
The Reluctant Fundamentalist,Mohsin Hamid,,,2007,Houghton Mifflin Harcourt,,,9780151013043,,,,,,,,,
The magic of thinking big,David Joseph Schwartz,,,2006,,,,9781416511557,,,,,,,,,
The Tao of physics: an exploration of the parallels between modern physics and eastern mysticism,Fritjof Capra,,,1982,Flamingo,,,9780006544890,,,,,,,,,
Rich dad's guide to investing: what the rich invest in that the poor and middle class do not!,Robert T. Kiyosaki,,,2000,Warner Books,,,9780446677462,,,,,,,,,
We the living,Ayn Rand,,,1995,Penguin,,,9780451187840,,,,,,,,,
New Thinking For The New Millennium,Edward De Bono,,,2000,"Penguin Books, Limited (UK)",,,9780140287769,,,,,,,,,
Sleeping With The Devil: How Washington Sold Our Soul For Saudi Crude,Robert Baer,,,2004,Broadway Books,,,9781400052684,,,,,,,,,
Introductory Methods Of Numerical Analysis,S. S. Sastry,,,2003,,,,9788120312661,,,,,,,,,
"Outrage: How Illegal Immigration, The United Nations, Congressional Ripoffs, Student Loan Overcharges, Tobacco Companies, Trade Protection, And Drug Companies Are Ripping Us Off-- And What To Do About It",Dick Morris;Eileen McGann,,,2007,Harper,,,9780061195402,,,,,,,,,
2G Spectrum Scam,Subramanian Swamy,,,2011,,,,9788124116388,,,,,,,,,
The vendor of sweets,R. K. Narayan,,,2007,Gardners Books,,,9788185986098,,,,,,,,,
The Seven Habits Of Highly Effective People: Restoring The Character Ethic,Stephen R. Covey,,,2004,,,,9781416502494,,,,,,,,,
Lateral thinking: a textbook of creativity,Edward de Bono,,,1990,Penguin,,,9780140137798,,,,,,,,,
Contagious: Why Things Catch On,Jonah Berger,,,2013,,,,9781471111693,,,,,,,,,
"Rock, Paper, Scissors: Game Theory In Everyday Life",Len Fisher,,,2008,Basic Books (AZ),,,9780465009381,,,,,,,,,
Competitive Advantage: Creating And Sustaining Superior Performance,Michael E. Porter,,,2004,Free Press,,,9780743260879,,,,,,,,,
Developing Strategic Thought: Rediscovering The Art Of Direction-Giving,Bob Garratt,,,2003,Profile Books(GB),,,9781861976598,,,,,,,,,
Spouse: The Truth About Marriage,Shobha Dé,,,2005,Penguin Books India,,,9780143032373,,,,,,,,,
The Argumentative Indian,Amartya Sen,,,2006,Penguin UK,,,9780141012117,,,,,,,,,
The World Is Flat: A Brief History Of The Twenty-First Century,Thomas L. Friedman,,,2005,,,,9780713998788,,,,,,,,,
Extreme Programming Explored,William C. Wake,,,2002,Addison-Wesley Professional,,,9780201733976,,,,,,,,,
Creating The #1 Sales Force: What It Takes To Transform Your Sales Culture,Jim Kasper,,,2005,Kaplan Publishing,,,9781419502743,,,,,,,,,
The Interpretation Of Dreams,Sigmund Freud;James Strachey,,,1965,Harper Collins,,,9780380010004,,,,,,,,,
Know-How: The 8 Skills That Separate People Who Perform From Those Who Don't,Ram Charan,,,2008,Random House,,,9781905211241,,,,,,,,,
Metaphysics,Aristotle,,,1991,,,,9780879756710,,,,,,,,,
"Net Patterns: Architecture, Design, And Process",Thilmany,,,2003,Pearson Education India,,,9788177586800,,,,,,,,,
Design patterns: elements of reusable object-oriented software,Erich Gamma;Erich Gamma;Richard Helm;Ralph E. Johnson;John Vlissides;Grady Booch,,,,,,,9788178081359,,,,,,,,,
Sensation And Perception,E. Bruce Goldstein,,,1996,Thomson Brooks/Cole,,,9780534266226,,,,,,,,,
Steve Jobs,Walter Isaacson,,,2011,Little Brown GBR,,,9781408703748,,,,,,,,,
Software engineering: a practitioner's approach,Roger S. Pressman,,,1996,McGraw-Hill,,,9780071146036,,,,,,,,,
Conception orientée objets et applications,Grady Booch,,,,,,,9789812359810,,,,,,,,,
