Title,Authors,Co-authors,Edition,Year,Publisher,Category,ISBN,ISBN13,Call No,Accession No,Subject,Copy No,Remarks,Binding,Condition,Description,Tags
Business @ the speed of thought: using a digital nervous system,Bill Gates,,,2000,Penguin,,,9780140283129,,,,,,,,,
E=mc²: a biography of the world's most famous equation,David Bodanis,,,2001,Pan Books,,,9780330391658,,,,,,,,,
Emotional intelligence,Daniel Goleman,,,2006,,,,9780553840070,,,,,,,,,
The Tao of physics: an exploration of the parallels between modern physics and eastern mysticism,Fritjof Capra,,,1982,Flamingo,,,9780006544890,,,,,,,,,
Rich dad's guide to investing: what the rich invest in that the poor and middle class do not!,Robert T. Kiyosaki,,,2000,Warner Books,,,9780446677462,,,,,,,,,
We the living,Ayn Rand,,,1995,Penguin,,,9780451187840,,,,,,,,,
New Thinking For The New Millennium,Edward de Bono,,,1990,Penguin Books Ltd,,,9780140287769,,,,,,,,,
Sleeping with the devil: how Washington sold our soul for Saudi crude,Robert Baer,,,2004,Three Rivers Press,,,9781400052684,,,,,,,,,
Introductory methods of numerical analysis,S.S. Sastri,,,2004,Prentice-Hall of India Pvt.Ltd,,,9788120312661,,,,,,,,,
Competitive advantage: creating and sustaining superior performance,Michael E. Porter,,,,,,,9780743260879,,,,,,,,,
Developing strategic thought: rediscovering the art of direction-giving,Bob Garratt,,,2003,Profile Business,,,9781861976598,,,,,,,,,
Spouse: the truth about marriage,Shobha De,,,2005,Penguin Books,,,9780143032373,,,,,,,,,
The world is flat: a brief history of the twenty-first century,Thomas L. Friedman,,,2005,Allen Lane,,,9780713998788,,,,,,,,,
Extreme programming explored,William C. Wake,,,2002,Addison Wesley,,,9780201733976,,,,,,,,,
Creating the #1 sales force: what it takes to transform your sales culture,Jim Kasper,,,2005,Kaplan Business,,,9781419502743,,,,,,,,,
The interpretation of dreams,Sigmund Freud,,,1965,Avon,,,9780380010004,,,,,,,,,
Metaphysics,Aristotle,,,1991,Prometheus Books,,,9780879756710,,,,,,,,,
Design patterns: elements of reusable object-oriented software,Erich Gamma;Erich Gamma;Richard Helm;Ralph E. Johnson;John Vlissides;Grady Booch,,,,,,,9788178081359,,,,,,,,,
Sensation and perception,E. Bruce Goldstein,,,1996,Brooks/Cole Pub.,,,9780534266226,,,,,,,,,
Software engineering: a practitioner's approach,Roger S. Pressman,,,1996,McGraw-Hill,,,9780071146036,,,,,,,,,
Conception orientée objets et applications,Grady Booch,,,,,,,9789812359810,,,,,,,,,
